DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,CENSUS_DISTRICT,PAGE,UNDER14,YEAR_DISPLAY,NAME,YEAR,REMARKS,AGE,FATHER,GUARDIAN,MOTHER
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479029,New Town,105,No,1837.0,"Lee, Ann",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479030,New Town,105,Yes,1837.0,"Lee, William",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479031,New Town,105,Yes,1837.0,"Lee, George",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479032,New Town,105,Yes,1837.0,"Lee, Mary",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479033,New Town,105,Yes,1837.0,"Lee, Eliz",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479034,New Town,105,Yes,1837.0,"Lee, Ester",1837.0,,,,,
CEN1/1/87,https://stors.tas.gov.au/CEN1-1-87-61,https://stors.tas.gov.au/NI/479173,Hobart,61,No,1848.0,"Ling, William",1848.0,,,,,
CEN1/1/100,https://stors.tas.gov.au/CEN1-1-100-588,https://stors.tas.gov.au/NI/479242,Launceston,588,No,1848.0,"Lock, John",1848.0,,,,,
CEN1/1/112,https://stors.tas.gov.au/CEN1-1-112-426,https://stors.tas.gov.au/NI/479243,Launceston,426,No,1851.0,"Lock, John",1851.0,,,,,
CEN1/1/41,https://stors.tas.gov.au/CEN1-1-41-45,https://stors.tas.gov.au/NI/479255,Richmond,45,No,1842.0,"Long, Daniel",1842.0,,,,,
CEN1/1/94,https://stors.tas.gov.au/CEN1-1-94-145,https://stors.tas.gov.au/NI/479256,Oatlands,145,No,1848.0,"Long, Elizabeth",1848.0,,,,,
CEN1/1/61,https://stors.tas.gov.au/CEN1-1-61-49,https://stors.tas.gov.au/NI/479257,Hobart,49,No,1843.0,"Long, James",1843.0,,,,,
CEN1/1/110,https://stors.tas.gov.au/CEN1-1-110-285,https://stors.tas.gov.au/NI/479258,Launceston,285,No,1851.0,"Long, James",1851.0,,,,,
CEN1/1/6,https://stors.tas.gov.au/CEN1-1-6-67,https://stors.tas.gov.au/NI/479259,Campbell Town,67,No,1842.0,"Long, John",1842.0,,,,,
CEN1/1/43,https://stors.tas.gov.au/CEN1-1-43-55,https://stors.tas.gov.au/NI/479260,Southport,55,No,1842.0,"Long, Nicholas",1842.0,,,,,
CEN1/1/73,https://stors.tas.gov.au/CEN1-1-73-37,https://stors.tas.gov.au/NI/479261,Southport,37,No,1843.0,"Long, Nicholas",1843.0,,,,,
CEN1/1/6,https://stors.tas.gov.au/CEN1-1-6-219,https://stors.tas.gov.au/NI/479262,Campbell Town,219,No,1842.0,"Long, Robert",1842.0,,,,,
CEN1/1/112,https://stors.tas.gov.au/CEN1-1-112-459,https://stors.tas.gov.au/NI/479263,Launceston,459,No,1851.0,"Long, Robert",1851.0,,,,,
CEN1/1/35,https://stors.tas.gov.au/CEN1-1-35-41,https://stors.tas.gov.au/NI/479264,Oatlands,41,No,1842.0,"Long, William",1842.0,,,,,
CEN1/1/71,https://stors.tas.gov.au/CEN1-1-71-125,https://stors.tas.gov.au/NI/479265,Oatlands,125,No,1843.0,"Long, William",1843.0,,,,,
CEN1/1/94,https://stors.tas.gov.au/CEN1-1-94-131,https://stors.tas.gov.au/NI/479266,Oatlands,131,No,1848.0,"Long, William",1848.0,,,,,
CEN1/1/94,https://stors.tas.gov.au/CEN1-1-94-168,https://stors.tas.gov.au/NI/479267,Oatlands,168,No,1848.0,"Long, William",1848.0,,,,,
CEN1/1/101,https://stors.tas.gov.au/CEN1-1-101-617,https://stors.tas.gov.au/NI/485739,Launceston,617,No,1848.0,"Long, James",1848.0,,,,,
CEN1/1/71,https://stors.tas.gov.au/CEN1-1-71-75,https://stors.tas.gov.au/NI/485917,Oatlands,75,No,1843.0,"Long, William",1843.0,,,,,
CEN1/1/84,https://stors.tas.gov.au/CEN1-1-84-309,https://stors.tas.gov.au/NI/479330,Hobart,309,No,1848.0,"Low, John",1848.0,,,,,
CEN1/1/38,https://stors.tas.gov.au/CEN1-1-38-23,https://stors.tas.gov.au/NI/479331,Richmond,23,No,1842.0,"Low, John James",1842.0,,,,,
CEN1/1/101,https://stors.tas.gov.au/CEN1-1-101-702,https://stors.tas.gov.au/NI/479332,Launceston,702,No,1848.0,"Low, Joseph",1848.0,,,,,
CEN1/1/113,https://stors.tas.gov.au/CEN1-1-113-628,https://stors.tas.gov.au/NI/479333,Launceston,628,No,1851.0,"Low, Joseph",1851.0,,,,,
CEN1/1/103,https://stors.tas.gov.au/CEN1-1-103-2-30,https://stors.tas.gov.au/NI/484489,Launceston,30,No,1848.0,"Smith, John Low",1848.0,,,,,
CEN1/1/52,https://stors.tas.gov.au/CEN1-1-52-169,https://stors.tas.gov.au/NI/480446,Hobart,169,No,1843.0,"Moon, F",1843.0,,,,,
CEN1/1/22,https://stors.tas.gov.au/CEN1-1-22-141,https://stors.tas.gov.au/NI/480447,Hobart,141,No,1842.0,"Moon, Henry",1842.0,,,,,
CEN1/1/82,https://stors.tas.gov.au/CEN1-1-82-155,https://stors.tas.gov.au/NI/480448,Hobart,155,No,1848.0,"Moon, Henry",1848.0,,,,,
CEN1/1/31,https://stors.tas.gov.au/CEN1-1-31-95,https://stors.tas.gov.au/NI/480449,Norfolk Plains,95,No,1842.0,"Moon, William",1842.0,,,,,
CEN1/1/92,https://stors.tas.gov.au/CEN1-1-92-127,https://stors.tas.gov.au/NI/485531,New Norfolk,127,No,1848.0,"Pow, Jacob",1848.0,,,,,
CEN1/1/89,https://stors.tas.gov.au/CEN1-1-89-203,https://stors.tas.gov.au/NI/481641,Hobart,203,No,1848.0,"Quin, Daniel",1848.0,,,,,
CEN1/1/44,https://stors.tas.gov.au/CEN1-1-44-71,https://stors.tas.gov.au/NI/481642,Brighton,71,No,1843.0,"Quin, John",1843.0,,,,,
CEN1/1/5,https://stors.tas.gov.au/CEN1-1-5-53,https://stors.tas.gov.au/NI/481643,Brighton,53,No,1842.0,"Quin, Mary",1842.0,,,,,
CEN1/1/9,https://stors.tas.gov.au/CEN1-1-9-101,https://stors.tas.gov.au/NI/481644,George Town,101,No,1842.0,"Quin, Thomas",1842.0,,,,,
CEN1/1/51,https://stors.tas.gov.au/CEN1-1-51-103,https://stors.tas.gov.au/NI/481645,George Town,103,No,1843.0,"Quin, Thomas",1843.0,,,,,
CSO1/1/918 page 64,https://stors.tas.gov.au/CSO1-1-918_064,https://stors.tas.gov.au/NI/1613647,Breadalbane,,,1827.0,"Quin, Jane|Quin, Timothy",1827.0,Father a farmer. Cannot read or write. Catholic,12,"Quin, Timothy",,
CSO1/1/918 page 66,https://stors.tas.gov.au/CSO1-1-918_066,https://stors.tas.gov.au/NI/1613648,George Town,,,1827.0,"Quin, John|Quin, Thomas",1827.0,Father a gaoler. Catholic.,7,"Quin, Thomas",,
CSO1/1/918 page 66,https://stors.tas.gov.au/CSO1-1-918_066,https://stors.tas.gov.au/NI/1613649,George Town,,,1827.0,"Quin, Lawrence|Quin, Thomas",1827.0,Father a gaoler. Catholic.,3,"Quin, Thomas",,
CSO1/1/918 page 60,https://stors.tas.gov.au/CSO1-1-918_060,https://stors.tas.gov.au/NI/1613650,Breadalbane,,,1827.0,"Quin, Mary|Lett, Peter",1827.0,Guardian a settler. Can read. Catholic.,11,,"Lett, Peter",
CEN1/1/101,https://stors.tas.gov.au/CEN1-1-101-788,https://stors.tas.gov.au/NI/484753,Launceston,788,No,1848.0,"Sun, John",1848.0,,,,,
CEN1/1/46,https://stors.tas.gov.au/CEN1-1-46-115,https://stors.tas.gov.au/NI/483319,Brighton,115,No,1843.0,"Tit, Daniel",1843.0,,,,,
CEN1/1/67,https://stors.tas.gov.au/CEN1-1-67-139,https://stors.tas.gov.au/NI/483520,Launceston,139,No,1843.0,"Wak, William",1843.0,,,,,
CEN1/1/44,https://stors.tas.gov.au/CEN1-1-44-51,https://stors.tas.gov.au/NI/484210,Brighton,51,No,1843.0,"Wing, Jacob",1843.0,,,,,
CEN1/1/3,https://stors.tas.gov.au/CEN1-1-3-265,https://stors.tas.gov.au/NI/484211,Brighton,265,No,1842.0,"Wing, Jacob",1842.0,,,,,
CEN1/1/70,https://stors.tas.gov.au/CEN1-1-70-73,https://stors.tas.gov.au/NI/485168,Oatlands,73,No,1843.0,"Wing, Samuel",1843.0,,,,,
CEN1/1/95,https://stors.tas.gov.au/CEN1-1-95-178,https://stors.tas.gov.au/NI/485169,Launceston,178,No,1848.0,"Wing, Thomas",1848.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/472570,New Town,50,No,1837.0,"Woon, Emma",1837.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/484324,New Town,50,No,1837.0,"Woon, Emma",1837.0,,,,,
